,A,AIQ,BCAP,BZCAP,BZMAX,BZMIN,CAPCOST,CFCAP,DCAP,DI,ETA,GPX,GROEI,HCAP,I,KGV,LAB,LAMBDA,MPK,MPL,MZK,NCAP,OCAP,PX,PY,PYC,PYC1,RF,RHO,RHOX,RHOXMAX,RHOXMIN,RISK,TC,THETA,TP,WAGE,WAGE1,X,XK,YD,YDEX,YDEX1,YS,ZCAP
1Y,,,0.23431,,,,,,,,,,,,0.07446,90.95893,,,,,,,,1,,1,,,,,,,,,,,1,,,,,99.009900990099,,,
2Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
3Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
4Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
5Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
6Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
7Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
8Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
9Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
10Y,0.5,,0.23,,,,,,,,0,0,0.01,,,,80,0.599,,,0.13878,,,1,,1,,0.08,0.055,,,,0.025,0.4,,0.5,1,,,0.11,,,,,
